metric	value
memote_html	/mnt/fabb0776-b8da-464a-8326-3bb7ca279732/mengya/my_pangenome/results/pangenome_relaxed_80/347_final_detail_closed_ssGEM_memote/per_model/Calb_GCA_000775465_ssGEM/memote_snapshot.html
run_mode	full
total_score	0.6943916141522101
section_score_consistency	0.46655978542795623
section_score_annotation_met	0.7302740453300685
section_score_annotation_rxn	0.7491247704315886
section_score_annotation_gene	0.5939321357285429
section_score_annotation_sbo	0.9090909090909091
test_status_failed	117
test_status_passed	111
test_status_skipped	8
memote_0_17_sbo_zero_missing_marked_failed_tests	9
interpretation_boundary	MEMOTE_score_is_descriptive;independent_release_QC_controls_release;bounded_runtime_mode_omits_three_open_bound_tests
